SEQ,X,Y,Z
561,0.04,-0.35,0.93
562,0.04,-0.35,0.93
563,0.04,-0.35,0.93
564,0.04,-0.35,0.93
565,0.04,-0.35,0.93
566,0.04,-0.35,0.93
567,0.04,-0.35,0.93
568,0.04,-0.33,0.92
569,0.06,-0.33,0.92
570,0.06,-0.33,0.92
571,0.06,-0.33,0.92
572,0.06,-0.33,0.92
573,0.06,-0.33,0.92
574,0.06,-0.33,0.92
575,0.06,-0.33,0.92
576,0.06,-0.33,0.92
577,0.06,-0.33,0.92
578,0.06,-0.33,0.92
579,0.06,-0.33,0.92
580,0.06,-0.33,0.89
581,0.05,-0.34,0.89
582,0.05,-0.34,0.89
583,0.05,-0.34,0.89
584,0.05,-0.34,0.89
585,0.05,-0.34,0.89
586,0.05,-0.34,0.89
587,0.05,-0.34,0.89
588,0.05,-0.34,0.89
589,0.05,-0.34,0.89
590,0.05,-0.34,0.89
591,0.05,-0.34,0.89
592,0.05,-0.34,0.91
593,0.02,-0.35,0.91
594,0.02,-0.35,0.91
595,0.02,-0.35,0.91
596,0.02,-0.35,0.91
597,0.02,-0.35,0.91
598,0.02,-0.35,0.91
599,0.02,-0.35,0.91
600,0.03,-0.35,0.93
601,0.02,-0.34,0.92
602,0.02,-0.34,0.92
603,0.02,-0.34,0.92
604,0.02,-0.34,0.92
605,0.02,-0.34,0.92
606,0.02,-0.34,0.92
607,0.02,-0.34,0.92
608,0.02,-0.34,0.92
609,0.02,-0.34,0.92
610,0.02,-0.34,0.92
611,0.02,-0.34,0.92
612,0.02,-0.34,0.89
613,0.04,-0.34,0.89
614,0.04,-0.34,0.89
615,0.04,-0.34,0.89
616,0.04,-0.34,0.89
617,0.04,-0.34,0.89
618,0.04,-0.34,0.89
619,0.04,-0.34,0.89
620,0.04,-0.34,0.89
621,0.04,-0.34,0.89
622,0.04,-0.34,0.89
623,0.04,-0.34,0.89
624,0.04,-0.34,0.9
625,0.04,-0.36,0.9
626,0.04,-0.36,0.9
627,0.04,-0.36,0.9
628,0.04,-0.36,0.9
629,0.04,-0.36,0.9
630,0.04,-0.36,0.9
631,0.04,-0.36,0.9
632,0.04,-0.36,0.9
633,0.04,-0.36,0.9
634,0.04,-0.36,0.9
635,0.04,-0.36,0.9
636,0.04,-0.36,0.9
637,0.07,-0.34,0.91
638,0.07,-0.34,0.91
639,0.07,-0.34,0.91
640,0.07,-0.34,0.91
641,0.07,-0.34,0.91
642,0.07,-0.34,0.91
643,0.07,-0.34,0.91
644,0.07,-0.34,0.91
645,0.07,-0.34,0.91
646,0.07,-0.34,0.91
647,0.07,-0.34,0.91
648,0.07,-0.34,0.91
649,0.09,-0.33,0.94
650,0.1,-0.25,0.94
651,0.1,-0.25,0.94
652,0.1,-0.25,0.94
653,0.1,-0.25,0.94
654,0.1,-0.25,0.94
655,0.1,-0.25,0.94
656,0.1,-0.25,0.94
657,0.1,-0.25,0.94
658,0.1,-0.25,0.94
659,0.1,-0.25,0.94
660,0.1,-0.26,0.91
661,0.1,-0.26,0.91
662,0.1,-0.26,0.91
663,0.1,-0.26,0.91
664,0.1,-0.26,0.91
665,0.1,-0.26,0.91
666,0.1,-0.26,0.91
667,0.1,-0.26,0.91
668,0.1,-0.26,0.91
669,0.1,-0.26,0.91
670,0.1,-0.26,0.91
671,0.1,-0.26,0.91
672,0.1,-0.25,0.9
673,0.1,-0.25,0.9
674,0.1,-0.25,0.9
675,0.1,-0.25,0.9
676,0.1,-0.25,0.9
677,0.1,-0.25,0.9
678,0.1,-0.25,0.9
679,0.1,-0.25,0.9
680,0.1,-0.25,0.9
681,0.1,-0.25,0.9
682,0.1,-0.25,0.9
683,0.1,-0.25,0.9
684,0.1,-0.27,0.97
