SEQ,X,Y,Z
634,0.09,0.07,0.99
635,0.09,0.07,0.99
636,0.09,0.07,0.99
637,0.09,0.07,0.99
638,0.09,0.02,1.05
639,0.05,0.02,1.05
640,0.05,0.02,1.05
641,0.05,0.02,1.05
642,0.05,0.02,1.05
643,0.05,0.02,1.05
644,0.05,0.02,1.05
645,0.05,0.02,1.05
646,0.05,0.02,1.05
647,0.05,0.02,1.05
648,0.05,0.02,1.05
649,0.05,0.02,1.05
650,0.11,0.09,1.09
651,0.08,0.06,0.96
652,0.08,0.06,0.96
653,0.08,0.06,0.96
654,0.08,0.06,0.96
655,0.08,0.06,0.96
656,0.08,0.06,0.96
657,0.08,0.06,0.96
658,0.08,0.06,0.96
659,0.08,0.06,0.96
660,0.08,0.06,0.96
661,0.08,0.06,0.96
662,0.08,0.06,0.93
663,0.04,-0,0.93
664,0.04,-0,0.93
665,0.04,-0,0.93
666,0.04,-0,0.93
667,0.04,-0,0.93
668,0.04,-0,0.93
669,0.04,-0,0.93
670,0.04,-0,0.93
671,0.04,-0,0.93
672,0.04,-0,0.93
673,0.04,-0,0.93
674,0.04,-0,1.02
675,0.03,-0.01,1.02
676,0.03,-0.01,1.02
677,0.03,-0.01,1.02
678,0.03,-0.01,1.02
679,0.03,-0.01,1.02
680,0.03,-0.01,1.02
681,0.03,-0.01,1.02
682,0.03,-0.01,1.02
683,0.03,-0.01,1.02
684,0.03,-0.01,1.02
685,0.03,-0.01,1.02
686,0.03,-0.01,1.02
687,0.03,0.04,1.04
688,0.03,0.04,1.04
689,0.03,0.04,1.04
690,0.03,0.04,1.04
691,0.03,0.04,1.04
692,0.03,0.04,1.04
693,0.03,0.04,1.04
694,0.03,0.04,1.04
695,0.03,0.04,1.04
696,0.03,0.04,1.04
697,0.03,0.04,1.04
698,0.03,0.04,1.04
699,0.04,0.06,0.97
700,0.05,0,1
701,0.05,0,1
702,0.05,0,1
703,0.05,0,1
704,0.05,0,1
705,0.05,0,1
706,0.05,0,1
707,0.05,0,1
708,0.05,-0.03,0.96
709,0.05,-0.03,0.96
710,0.05,-0.03,0.96
711,0.05,-0.03,0.96
712,0.05,-0.03,0.96
713,0.05,-0.03,0.96
714,0.05,-0.03,0.96
715,0.05,-0.03,0.96
716,0.05,-0.03,0.96
717,0.05,-0.03,0.96
718,0.05,-0.03,0.96
719,0.05,-0.03,0.96
720,0.05,-0.06,0.96
721,0.02,-0.06,0.96
722,0.02,-0.06,0.96
723,0.02,-0.06,0.96
724,0.02,-0.06,0.96
725,0.02,-0.06,0.96
726,0.02,-0.06,0.96
727,0.02,-0.06,0.96
728,0.02,-0.06,0.96
729,0.02,-0.06,0.96
730,0.02,-0.06,0.96
731,0.02,-0.06,0.96
732,0.02,-0.06,0.96
733,0.04,-0.03,0.98
734,0.04,-0.03,0.98
735,0.04,-0.03,0.98
736,0.04,-0.03,0.98
737,0.04,-0.03,0.98
738,0.04,-0.03,0.98
739,0.04,-0.03,0.98
740,0.04,-0.03,0.98
741,0.04,-0.03,0.98
742,0.04,-0.03,0.98
743,0.04,-0.03,0.98
744,0.04,-0.03,1.03
745,0.08,-0.01,1.03
746,0.08,-0.01,1.03
747,0.08,-0.01,1.03
748,0.08,-0.01,1.03
749,0.08,-0.01,1.03
750,0.06,-0.06,1.02
751,0.06,-0.06,1.02
752,0.06,-0.06,1.02
753,0.06,-0.06,1.02
754,0.06,-0.06,1.02
755,0.06,-0.06,1.02
756,0.06,-0.06,1.02
757,0.06,-0.06,1.02
758,0.06,-0.06,1.02
759,0.06,-0.06,1.02
760,0.06,-0.06,1.02
761,0.06,-0.06,1
762,0.05,-0.06,1
763,0.05,-0.06,1
764,0.05,-0.06,1
765,0.05,-0.06,1
766,0.05,-0.06,1
767,0.05,-0.06,1
768,0.05,-0.06,1
769,0.05,-0.06,1
770,0.05,-0.06,1
771,0.05,-0.06,1
772,0.05,-0.06,1
773,0.05,-0.07,1.02
774,0.06,-0.07,1.02
775,0.06,-0.07,1.02
776,0.06,-0.07,1.02
777,0.06,-0.07,1.02
778,0.06,-0.07,1.02
779,0.06,-0.07,1.02
780,0.06,-0.07,1.02
781,0.06,-0.07,1.02
782,0.06,-0.07,1.02
783,0.06,-0.07,1.02
784,0.06,-0.07,1.02
785,0.06,-0.07,1.05
786,0.06,-0.09,1.05
787,0.06,-0.09,1.05
788,0.06,-0.09,1.05
789,0.06,-0.09,1.05
790,0.06,-0.09,1.05
791,0.06,-0.09,1.05
792,0.06,-0.09,1.05
793,0.06,-0.09,1.05
794,0.06,-0.09,1.05
795,0.06,-0.09,1.05
796,0.06,-0.09,1.05
797,0.06,-0.09,1.11
798,0.04,-0.15,1.11
799,0.04,-0.15,1.11
800,-0.05,-0.12,1.18
801,-0.05,-0.12,1.18
802,-0.05,-0.12,1.18
803,-0.05,-0.12,1.18
804,-0.05,-0.12,1.18
805,-0.05,-0.12,1.18
806,-0.05,-0.12,1.18
807,-0.05,-0.12,1.18
808,-0.05,-0.12,1.18
809,-0.05,-0.12,1.18
810,-0.05,-0.12,1.18
811,-0.05,-0.12,1.07
812,-0.06,-0.13,1.07
813,-0.06,-0.13,1.07
814,-0.06,-0.13,1.07
815,-0.06,-0.13,1.07
816,-0.06,-0.13,1.07
817,-0.06,-0.13,1.07
818,-0.06,-0.13,1.07
819,-0.06,-0.13,1.07
820,-0.06,-0.13,1.07
821,-0.06,-0.13,1.07
822,-0.06,-0.13,1.07
823,-0.06,-0.13,1.04
824,-0.08,-0.15,1.04
825,-0.08,-0.15,1.04
826,-0.08,-0.15,1.04
827,-0.08,-0.15,1.04
828,-0.08,-0.15,1.04
829,-0.08,-0.15,1.04
830,-0.08,-0.15,1.04
831,-0.08,-0.15,1.04
832,-0.08,-0.15,1.04
833,-0.08,-0.15,1.04
834,-0.08,-0.15,1.04
835,-0.08,-0.15,1.04
836,-0.06,-0.16,1.03
837,-0.06,-0.16,1.03
838,-0.06,-0.16,1.03
839,-0.06,-0.16,1.03
840,-0.06,-0.16,1.03
841,-0.06,-0.16,1.03
842,-0.06,-0.16,1.03
843,-0.06,-0.16,1.03
844,-0.06,-0.16,1.03
845,-0.06,-0.16,1.03
846,-0.06,-0.16,1.03
847,-0.06,-0.16,1.03
848,-0.07,-0.16,1.07
849,-0.07,-0.16,1.07
850,-0.04,-0.15,0.99
851,-0.04,-0.15,0.99
852,-0.04,-0.15,0.99
853,-0.04,-0.15,0.99
854,-0.04,-0.15,0.99
855,-0.04,-0.15,0.99
856,-0.04,-0.15,0.99
857,-0.04,-0.15,0.99
858,-0.04,-0.15,0.99
859,-0.04,-0.15,0.99
860,-0.04,-0.15,0.99
861,-0.04,-0.15,1.03
862,-0.07,-0.17,1.03
863,-0.07,-0.17,1.03
864,-0.07,-0.17,1.03
865,-0.07,-0.17,1.03
866,-0.07,-0.17,1.03
867,-0.07,-0.17,1.03
868,-0.07,-0.17,1.03
869,-0.07,-0.17,1.03
870,-0.07,-0.17,1.03
871,-0.07,-0.17,1.03
872,-0.07,-0.17,1.03
873,-0.07,-0.17,1.03
874,-0.05,-0.26,1.08
875,-0.05,-0.26,1.08
876,-0.05,-0.26,1.08
877,-0.05,-0.26,1.08
878,-0.05,-0.26,1.08
879,-0.05,-0.26,1.08
880,-0.05,-0.26,1.08
881,-0.05,-0.26,1.08
882,-0.05,-0.26,1.08
883,-0.05,-0.26,1.08
884,-0.05,-0.26,1.08
885,-0.05,-0.26,1.08
886,-0.03,-0.37,1.2
887,-0.03,-0.37,1.2
888,-0.03,-0.37,1.2
889,-0.03,-0.37,1.2
890,-0.03,-0.37,1.2
891,-0.03,-0.37,1.2
892,-0.03,-0.37,1.2
893,-0.03,-0.37,1.2
894,-0.03,-0.37,1.2
895,-0.03,-0.37,1.2
896,-0.03,-0.37,1.2
897,-0.03,-0.37,1.2
898,-0.03,-0.34,1.6
899,-0.04,-0.34,1.6
900,-0.12,-0.43,2.04
901,-0.12,-0.43,2.04
902,-0.12,-0.43,2.04
903,-0.12,-0.43,2.04
904,-0.12,-0.43,2.04
905,-0.12,-0.43,2.04
906,-0.12,-0.43,2.04
907,-0.12,-0.37,1.92
908,-0.1,-0.37,1.92
909,-0.1,-0.37,1.92
910,-0.1,-0.37,1.92
911,-0.1,-0.37,1.92
912,-0.1,-0.37,1.92
913,-0.1,-0.37,1.92
914,-0.1,-0.37,1.92
915,-0.1,-0.37,1.92
916,-0.1,-0.37,1.92
917,-0.1,-0.37,1.92
918,-0.1,-0.37,1.92
919,-0.1,-0.37,1.55
920,-0.03,-0.44,1.55
921,-0.03,-0.44,1.55
922,-0.03,-0.44,1.55
923,-0.03,-0.44,1.55
924,-0.03,-0.44,1.55
925,-0.03,-0.44,1.55
926,-0.03,-0.44,1.55
927,-0.03,-0.44,1.55
928,-0.03,-0.44,1.55
929,-0.03,-0.44,1.55
930,-0.03,-0.44,1.55
931,-0.03,-0.44,1.33
932,-0.01,-0.52,1.33
933,-0.01,-0.52,1.33
934,-0.01,-0.52,1.33
935,-0.01,-0.52,1.33
936,-0.01,-0.52,1.33
937,-0.01,-0.52,1.33
938,-0.01,-0.52,1.33
939,-0.01,-0.52,1.33
940,-0.01,-0.52,1.33
941,-0.01,-0.52,1.33
942,-0.01,-0.52,1.33
