NUM,SEQ,IR,RED,X,Y,Z
1,27220,121991,91683,-0.2,-0.54,0.81
1,27221,121999,91702,-0.2,-0.54,0.81
1,27222,121960,91653,-0.2,-0.54,0.81
1,27223,121911,91680,-0.2,-0.55,0.81
1,27224,122040,91718,-0.2,-0.54,0.81
1,27225,122133,91759,-0.2,-0.54,0.81
1,27226,122155,91732,-0.2,-0.54,0.81
1,27227,122158,91747,-0.2,-0.54,0.81
1,27228,122187,91804,-0.2,-0.54,0.81
1,27229,122306,91763,-0.2,-0.54,0.81
1,27230,122321,91804,-0.2,-0.54,0.81
1,27231,122366,91838,-0.2,-0.54,0.81
1,27232,122494,91810,-0.2,-0.54,0.81
1,27233,122473,91876,-0.2,-0.54,0.81
1,27234,122603,91854,-0.2,-0.54,0.81
1,27235,122635,91894,-0.2,-0.54,0.81
1,27236,122711,91910,-0.2,-0.54,0.81
1,27237,122733,91942,-0.2,-0.54,0.8
1,27238,122869,91932,-0.2,-0.54,0.8
1,27239,122949,92021,-0.2,-0.54,0.8
1,27240,123060,91899,-0.2,-0.54,0.81
1,27241,122397,91728,-0.2,-0.54,0.81
1,27242,122023,91662,-0.2,-0.54,0.81
1,27243,122013,91707,-0.2,-0.54,0.81
1,27244,121983,91723,-0.21,-0.54,0.81
1,27245,121916,91706,-0.2,-0.54,0.81
1,27246,121983,91676,-0.2,-0.55,0.8
1,27247,122010,91761,-0.2,-0.54,0.81
1,27248,122156,91748,-0.2,-0.54,0.81
1,27249,122127,91743,-0.2,-0.54,0.81
1,27250,122306,91791,-0.2,-0.54,0.81
1,27251,122372,91816,-0.2,-0.54,0.81
1,27252,122443,91843,-0.2,-0.54,0.81
1,27253,122528,91858,-0.2,-0.54,0.81
1,27254,122603,91879,-0.2,-0.54,0.81
1,27255,122711,91900,-0.2,-0.54,0.81
1,27256,122757,91950,-0.2,-0.54,0.81
1,27257,122883,91961,-0.2,-0.54,0.8
1,27258,122927,91984,-0.2,-0.54,0.81
1,27259,123025,92006,-0.2,-0.54,0.8
1,27260,123178,92083,-0.21,-0.54,0.81
1,27261,122952,91823,-0.21,-0.54,0.81
1,27262,122128,91721,-0.2,-0.54,0.81
1,27263,122037,91665,-0.2,-0.54,0.81
