SEQ,IR1,RED1,IR2,RED2,IR3,RED3,IR4,RED4
263,4722,4298,117301,91656,262143,262143,262143,262143
264,4702,4318,117391,91647,262143,262143,262143,262143
265,4726,4313,117402,91664,262143,262143,262143,262143
266,4767,4283,117187,91549,262143,262143,262143,262143
267,4736,4299,116973,91502,262143,262143,262143,262143
268,4715,4292,116902,91486,262143,262143,262143,262143
269,4724,4270,116871,91480,262143,262143,262143,262143
270,4747,4319,116853,91425,262143,262143,262143,262143
271,4733,4256,116806,91481,262143,262143,262143,262143
272,4760,4317,116842,91521,262143,262143,262143,262143
273,4736,4286,116870,91478,262143,262143,262143,262143
274,4764,4283,116891,91538,262143,262143,262143,262143
275,4722,4305,116927,91465,262143,262143,262143,262143
276,4710,4304,117005,91571,262143,262143,262143,262143
277,4747,4302,117039,91534,262143,262143,262143,262143
278,4726,4292,117140,91583,262143,262143,262143,262143
279,4731,4258,117173,91625,262143,262143,262143,262143
280,4748,4293,117219,91616,262143,262143,262143,262143
281,4722,4290,117231,91590,262143,262143,262143,262143
282,4715,4331,117354,91640,262143,262143,262143,262143
283,4710,4278,117348,91621,262143,262143,262143,262143
284,4731,4292,117163,91524,262143,262143,262143,262143
285,4710,4331,116902,91463,262143,262143,262143,262143
286,4719,4282,116866,91465,262143,262143,262143,262143
287,4702,4275,116755,91461,262143,262143,262143,262143
288,4771,4284,116770,91455,262143,262143,262143,262143
289,4707,4300,116768,91453,262143,262143,262143,262143
290,4727,4325,116735,91470,262143,262143,262143,262143
291,4750,4296,116784,91477,262143,262143,262143,262143
292,4739,4328,116761,91476,262143,262143,262143,262143
293,4744,4264,116836,91458,262143,262143,262143,262143
294,4775,4339,116902,91511,262143,262143,262143,262143
295,4747,4296,116899,91508,262143,262143,262143,262143
296,4701,4298,116944,91556,262143,262143,262143,262143
297,4743,4263,117047,91575,262143,262143,262143,262143
298,4732,4299,117115,91534,262143,262143,262143,262143
299,4723,4267,117149,91608,262143,262143,262143,262143
300,4729,4272,116631,91439,262143,262143,262143,262143
301,4733,4317,116626,91399,262143,262143,262143,262143
302,4734,4324,116529,91381,262143,262143,262143,262143
303,4743,4255,116578,91412,262143,262143,262143,262143
304,4747,4302,116593,91411,262143,262143,262143,262143
305,4736,4339,116578,91451,262143,262143,262143,262143
306,4739,4278,116593,91387,262143,262143,262143,262143
307,4770,4288,116585,91433,262143,262143,262143,262143
