time,IR,RED,HR,RR,SP02
28.84,227008,216692,58.8235294117647,13.1578947368421,98.2847005010514
28.86,227017,216744,58.8235294117647,13.1578947368421,98.2847005010514
28.88,227147,216677,58.8235294117647,13.1578947368421,98.2847005010514
28.9,227211,216857,58.8235294117647,13.1578947368421,98.2847005010514
28.92,227297,216690,58.8235294117647,13.1578947368421,98.2847005010514
28.94,227345,216779,58.8235294117647,13.1578947368421,98.2847005010514
28.96,227338,216803,58.8235294117647,13.7614678899083,98.2847005010514
28.98,227553,216793,58.8235294117647,13.7614678899083,98.2847005010514
29,227526,216938,58.8235294117647,13.7614678899083,98.2847005010514
29.02,227583,216866,58.8235294117647,13.7614678899083,98.2847005010514
29.04,227785,216849,58.8235294117647,13.7614678899083,98.2847005010514
29.06,227681,217035,58.8235294117647,13.7614678899083,98.2847005010514
29.08,227804,216931,58.8235294117647,13.7614678899083,98.2847005010514
29.1,227975,216920,58.8235294117647,13.7614678899083,98.2847005010514
29.12,227928,217084,58.8235294117647,13.7614678899083,98.2847005010514
29.14,228042,216987,58.8235294117647,13.7614678899083,98.2847005010514
29.16,228176,217016,58.8235294117647,13.7614678899083,98.2847005010514
29.18,228175,217163,58.8235294117647,13.7614678899083,98.2847005010514
29.2,228227,217052,58.8235294117647,13.7614678899083,98.2847005010514
29.22,228360,217118,60,13.7614678899083,98.2847005010514
29.24,228396,217201,60,13.7614678899083,98.2847005010514
29.26,228403,217148,60,13.7614678899083,98.2847005010514
29.28,228536,217175,60,13.7614678899083,98.2847005010514
29.3,228611,217252,60,13.7614678899083,98.2847005010514
29.32,228688,217206,60,13.7614678899083,98.2847005010514
29.34,228717,217188,60,13.7614678899083,98.2847005010514
29.36,228699,217258,60,13.7614678899083,98.2847005010514
29.38,228482,217200,60,13.7614678899083,98.2847005010514
29.4,228385,217112,60,13.7614678899083,98.2847005010514
29.42,228234,217108,60,13.7614678899083,98.2847005010514
29.44,228162,217028,60,13.7614678899083,98.2847005010514
29.46,227985,216932,60,13.7614678899083,98.2847005010514
29.48,227980,216989,60,13.7614678899083,98.2847005010514
