time,IR,RED
19.8,227291,217221
19.82,227389,217011
19.84,227375,217225
19.86,227417,217090
19.88,227511,217190
19.9,227523,217186
19.92,227715,217188
19.94,227675,217336
19.96,227740,217252
19.98,227953,217227
20,227862,217418
20.02,227953,217311
20.04,228006,217301
20.06,228086,217477
20.08,228162,217378
20.1,228171,217372
20.12,228267,217515
20.14,228363,217339
20.16,228417,217444
20.18,228505,217472
20.2,228536,217413
20.22,228629,217537
20.24,228693,217528
20.26,228603,217474
20.28,228499,217530
20.3,228121,217402
20.32,227817,217277
20.34,227433,217283
20.36,227202,217120
20.38,226988,217011
20.4,226685,217006
20.42,226504,216863
20.44,226405,216756
20.46,226165,216862
20.48,226055,216678
20.5,226019,216734
20.52,226059,216674
20.54,226109,216782
20.56,226167,216717
20.58,226132,216814
20.6,226175,216726
20.62,226145,216812
20.64,226180,216721
20.66,226194,216834
20.68,226205,216723
20.7,226269,216805
20.72,226343,216748
20.74,226374,216841
20.76,226413,216869
20.78,226446,216849
20.8,226591,216990
20.82,226672,216878
20.84,226676,216983
20.86,226797,216857
20.88,226815,216961
20.9,226879,216996
20.92,226928,216956
20.94,227032,217082
20.96,227034,217042
20.98,227179,217080
21,227221,217135
21.02,227249,217087
21.04,227421,217148
21.06,227458,217225
21.08,227442,217159
21.1,227555,217219
21.12,227636,217269
21.14,227677,217229
21.16,227793,217215
21.18,227849,217324
21.2,227865,217292
21.22,227979,217360
21.24,228075,217400
21.26,228095,217379
21.28,228173,217352
21.3,228144,217431
21.32,227983,217355
21.34,227640,217222
21.36,227293,217185
21.38,226922,217019
21.4,226576,216880
21.42,226313,216847
21.44,226084,216760
21.46,225804,216618
21.48,225651,216627
21.5,225481,216551
21.52,225360,216423
21.54,225246,216498
21.56,225299,216466
21.58,225350,216516
21.6,225439,216450
21.62,225425,216555
21.64,225471,216488
21.66,225470,216561
21.68,225503,216541
21.7,225477,216589
21.72,225573,216470
21.74,225628,216606
21.76,225659,216632
21.78,225676,216606
21.8,225824,216791
21.82,225911,216659
21.84,225940,216761
21.86,226035,216662
21.88,226072,216748
21.9,226173,216803
21.92,226227,216728
21.94,226314,216846
21.96,226319,216790
21.98,226443,216890
22,226464,216947
22.02,226577,216915
22.04,226755,216895
22.06,226660,217082
22.08,226759,216956
22.1,226905,217015
22.12,226974,217090
22.14,226985,217062
22.16,227146,217110
22.18,227204,217160
22.2,227205,217104
22.22,227330,217187
22.24,227422,217257
22.26,227424,217180
22.28,227557,217250
22.3,227632,217304
22.32,227665,217234
22.34,227769,217338
22.36,227744,217369
22.38,227757,217306
22.4,227622,217251
22.42,227240,217283
22.44,226794,217004
22.46,226510,216949
22.48,226197,216867
22.5,225851,216690
22.52,225690,216644
22.54,225524,216617
22.56,225253,216486
22.58,225147,216467
22.6,225043,216463
22.62,225000,216301
22.64,225031,216407
22.66,225109,216311
22.68,225120,216437
22.7,225156,216374
22.72,225156,216462
22.74,225180,216345
22.76,225164,216479
22.78,225211,216443
22.8,225255,216489
22.82,225245,216553
22.84,225478,216482
22.86,225423,216674
22.88,225496,216536
22.9,225526,216652
22.92,225654,216598
22.94,225708,216660
22.96,225774,216686
22.98,225885,216665
23,225863,216776
23.02,226012,216681
23.04,226060,216742
23.06,226108,216918
23.08,226202,216799
23.1,226390,216806
23.12,226299,216995
23.14,226417,216930
23.16,226618,216883
23.18,226531,217048
23.2,226656,216966
23.22,226812,216977
23.24,226805,217119
23.26,226838,217053
23.28,226997,217099
23.3,227050,217168
23.32,227038,217126
23.34,227217,217175
23.36,227279,217230
23.38,227306,217238
23.4,227468,217239
23.42,227486,217295
23.44,227347,217209
23.46,227170,217152
23.48,226863,217152
23.5,226456,216951
23.52,226146,216835
23.54,225855,216780
23.56,225548,216629
23.58,225367,216541
23.6,225182,216534
23.62,224973,216433
23.64,224771,216313
23.66,224701,216367
23.68,224701,216341
23.7,224762,216387
23.72,224818,216393
23.74,224848,216433
23.76,224900,216369
23.78,224875,216440
23.8,224955,216404
23.82,224917,216452
23.84,225038,216457
23.86,225056,216481
23.88,225122,216442
23.9,225185,216497
23.92,225222,216622
23.94,225456,216484
23.96,225426,216722
23.98,225450,216597
24,225565,216672
24.02,225615,216655
24.04,225713,216668
24.06,225765,216839
24.08,225852,216706
24.1,225884,216757
24.12,225979,216792
24.14,226028,216744
24.16,226116,216868
24.18,226190,216845
24.2,226240,216812
24.22,226373,216924
24.24,226473,216913
24.26,226478,216929
24.28,226600,217003
24.3,226717,217014
24.32,226737,216971
24.34,226859,217097
24.36,226973,217086
24.38,226987,217079
24.4,227096,217172
24.42,227131,217167
24.44,227013,217100
24.46,226740,217098
24.48,226381,216983
24.5,225975,216839
24.52,225678,216762
24.54,225395,216594
24.56,225186,216493
